           Дата операции  Сумма операции     Категория
2    20.06.2024 17:53:01         -416.57  Супермаркеты
4    18.06.2024 17:25:15         -158.00  Супермаркеты
12   11.06.2024 09:55:02         -259.98  Супермаркеты
13   09.06.2024 17:21:54         -457.00  Супермаркеты
14   08.06.2024 12:48:08         -817.95  Супермаркеты
31   05.06.2024 17:01:52          -46.49  Супермаркеты
32   05.06.2024 17:00:28        -1467.00  Супермаркеты
41   31.05.2024 12:06:45         -350.46  Супермаркеты
43   29.05.2024 16:24:09          -84.97  Супермаркеты
67   24.05.2024 19:18:36         -148.15  Супермаркеты
68   22.05.2024 19:20:18          -99.00  Супермаркеты
72   21.05.2024 16:53:20         -198.00  Супермаркеты
76   20.05.2024 14:22:38         -292.00  Супермаркеты
82   17.05.2024 08:30:25         -599.97  Супермаркеты
94   03.05.2024 19:16:15         -103.68  Супермаркеты
99   01.05.2024 19:41:37         -129.98  Супермаркеты
102  27.04.2024 20:43:12         -209.99  Супермаркеты
103  27.04.2024 20:41:53          -26.99  Супермаркеты
104  27.04.2024 19:44:58         -240.00  Супермаркеты
108  24.04.2024 17:39:59           -3.96  Супермаркеты
109  24.04.2024 17:32:36        -1673.84  Супермаркеты
